,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,H2O,FC,FC_SSITC_TEST,LE_inst_af,LE_SSITC_TEST,H_inst_af,H_SSITC_TEST,G_inst_af,FETCH_MAX,FETCH_90,WD,WS,USTAR,ZL,TAU,TAU_SSITC_TEST,MO_LENGTH,U_SIGMA,V_SIGMA,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,TA_1_1_2,VPD_PI,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_1_2,TS_1_1_3,SWC_1_1_1,SWC_1_1_2,Rn_inst_af,SW_IN_2_1_1,P_1_1_1,P_2_1_1,P_PI_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
11,11,0,0,LC08_028040_20210913,-99.95756287336845,29.35833587371635,2021-09-13 17:09:51.798000128,,,,,,,,,,,,,,,,,,-99.95771415558715,29.35835258968116,,,1,1,,,,,,,0.7292036119246237,2.437770978464446,35.393054629019645,,832.8431734086282,0.7292036119246237,3.915480575735197,2.437770978464446,372.86702672816335,,,,,,,,,,,,0.1364198178052902,-41.52203369140625,,,,,0,-99.95756287336845,29.35833587371635,,28.60648407732542,62.25981539971535,2.206590427766927,193.28544023403964,29.452684524737457,-99.72565938534824,0.7838938236236572,64015,304.36951711999995,111512,28.90356367192465,-99.1448349873239,0.297538161277771,400.916623559252,115.10115647626412,324.31708184,,2021-09-13 17:09:51.798000128+00:00,2021-09-13 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2021-09-13
12,12,1,1,LC08_028040_20210929,-99.95756287336845,29.35833587371635,2021-09-29 17:09:55.911000064,,,,,,,,,,,,,,,,,,-99.95771415558715,29.35835258968116,,,1,1,,,,,,,0.7228615461879944,2.444351856896474,35.48293080979297,,789.5754653978707,0.7228615461879944,4.432865128373457,2.444351856896474,352.7031543263198,,,,,,,,,,,,0.3146948218345642,-94.40347290039062,,,,,1,-99.95756287336845,29.35833587371635,,30.76511867147205,55.14157968062013,2.021283344864797,208.6380515066399,28.642309483334888,-98.9237721986865,0.7801627516746521,103392,299.98419746,167846,28.471632111033355,-100.13070583831517,0.2673089206218719,427.5232580040373,97.66457694444549,312.80177246,,2021-09-29 17:09:55.911000064+00:00,2021-09-29 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2021-09-29
13,13,0,0,LC08_028040_20211015,-99.95756287336845,29.35833587371635,2021-10-15 17:10:00.417999872,,,,,,,,,,,,,,,,,,-99.95771415558715,29.35835258968116,,,1,1,,,,,,,0.7083912412858451,2.7689061897391944,39.91542476795144,,727.916613689537,0.7083912412858451,3.653878528824308,2.7689061897391944,359.2068934364342,,,,,,,,,,,,0.2898053824901581,-87.21636962890625,,,,,0,-99.95756287336845,29.35833587371635,,27.41877895596117,75.77991900650659,1.2486967943800245,173.25784147003503,29.55741656380569,-99.86885434702634,0.843769907951355,81060,300.9480791,145574,28.30395394259694,-100.8747650955406,0.2019217759370803,331.9683626848061,84.44396062713552,311.79687458,,2021-10-15 17:10:00.417999872+00:00,2021-10-15 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2021-10-15
14,14,0,0,LC08_028040_20211116,-99.95756287336845,29.35833587371635,2021-11-16 17:09:55.263000064,0.0358125,0.0507449999999999,0.0826724999999999,0.08677,0.26343,0.234005,0.1479025,301.01985752,21824.0,0.1434403425,0.5044545973729296,0.314685999804056,0.3116796047988707,301.01985752,0.488330872465267,0.9548833087246528,0.9716114918791352,-99.95771415558715,29.35835258968116,-0.5044546127319336,0.5044546127319336,1,1,-0.522265802760743,-301.01985752,301.01985752,303.24241965905094,-303.24241965905094,303.24241965905094,0.7086188027849184,1.7517623019342372,26.02411696200048,444.5431722250456,623.7565676567208,0.7086188027849184,2.642718066318967,1.7517623019342372,340.63503285256985,415.00824696816346,56.85985940508586,0.0172946059476453,0.5030777817682215,129.48428036656867,12.053422637341022,1.334317924082768,14.523925219192718,0.0172946059476453,0.5030777817682215,0.5855323685634019,0.213292047381401,-63.34487915039063,0.3387683602864352,1.4786174639932923,228.6641071965089,0.6384619200784096,0,-99.95756287336845,29.35833587371635,65.13354977326883,21.99247064587048,66.28638613631082,3.114760806352696,160.31312128555544,29.77865631464778,-99.94089562663127,0.7396467328071594,406674,296.98659392,702397,28.59713635662437,-99.7117247314636,0.2044585943222046,325.19233047475683,64.38325487587193,309.03853244,41.93359127884977,2021-11-16 17:09:55.263000064+00:00,2021-11-16 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2021-11-16
15,15,0,0,LC08_028040_20211202,-99.95756287336845,29.35833587371635,2021-12-02 17:09:56.787000064,,,,,,,,,,,,,,,,,,-99.95771415558715,29.35835258968116,,,1,1,,,,,,,0.6980223071125817,1.776175565110345,26.35753306703048,,572.3683109687418,0.6980223071125817,2.584191639126308,1.776175565110345,312.72728351544805,,,,,,,,,,,,0.2983240783214569,-86.64149475097656,,,,,0,-99.95756287336845,29.35833587371635,,21.62558564326298,68.73234702171138,1.5878792447048895,143.15929235400134,29.553468595703368,-98.7218114420531,0.7717047929763794,90970,290.42741354,158173,28.70626926901509,-99.25451964718988,0.2276773154735565,296.71449449679346,48.86475373153938,302.49302414,,2021-12-02 17:09:56.787000064+00:00,2021-12-02 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2021-12-02
16,16,1,1,LC08_028040_20211218,-99.95756287336845,29.35833587371635,2021-12-18 17:09:54.887000064,,,,,,,,,,,,,,,,,,-99.95771415558715,29.35835258968116,,,1,1,,,,,,,0.6930748465981084,1.7204661377583983,25.596699902403977,,543.8370132345905,0.6930748465981084,2.520264088211347,1.7204661377583983,343.67462504871344,,,,,,,,,,,,0.2300592362880706,-68.38034057617188,,,,,1,-99.95756287336845,29.35833587371635,,21.21645273962973,68.26531179037781,4.0109685494491005,122.94594233475596,29.304234710409528,-100.60368605727056,0.7160257697105408,131126,297.22927334,235208,28.3534253946592,-100.21117631801498,0.1718716472387313,256.61373354090125,52.87946949616421,307.60638206,,2021-12-18 17:09:54.887000064+00:00,2021-12-18 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2021-12-18
17,17,0,0,LC08_028040_20220103,-99.95756287336845,29.35833587371635,2022-01-03 17:09:49.803000064,0.0398,0.0520375,0.0716724999999999,0.0844599999999999,0.164925,0.2182474999999999,0.1625599999999999,290.02408718000004,21824.0,0.113352455,0.3226537281713015,0.1569860397240136,0.1610620708981364,290.02408718000004,0.1200565365025058,0.9512005653650252,0.9703961865704582,-99.95771415558715,29.35835258968116,-0.3226537406444549,0.3226537406444549,1,1,-0.3941398366423991,-290.02408718000004,290.02408718000004,292.6920992717309,-292.6920992717309,292.6920992717309,0.749179996894894,0.2854536487655738,5.998489237242284,381.5851217321558,586.131984653979,0.749179996894894,1.1833278605141306,0.2854536487655738,275.4782148085843,400.1423971789456,35.888458626817005,0.007418108588166,0.3151770098223376,251.8424617024945,15.216128027174657,3.123949969100522,23.18273177969961,0.007418108588166,0.3151770098223376,0.4119556468509551,0.3143394887447357,-88.88072967529297,0.1648489668364622,0.7700887027873472,112.41147684963406,0.3086074437422913,0,-99.95756287336845,29.35833587371635,70.90021258243297,9.448694694664056,24.12295512433471,2.127945355648212,174.87115615716658,29.77865631464778,-99.94089562663127,0.7387765645980835,420265,282.75395864,873181,28.59713635662437,-99.7117247314636,0.2066837549209594,328.5909590189731,39.6054893633364,294.34104644,21.839715611049165,2022-01-03 17:09:49.803000064+00:00,2022-01-03 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2022-01-03
18,18,1,1,LC08_028040_20220119,-99.95756287336845,29.35833587371635,2022-01-19 17:09:46.904000000,0.053825,0.066035,0.090565,0.1092925,0.18797,0.2570775,0.185935,302.22641858,21824.0,0.13560793,0.2646734788276355,0.1458651983277251,0.1480268418494536,302.22641858,0.0933033630702607,0.9509330336307026,0.9703079010981318,-99.95771415558715,29.35835258968116,-0.2646734714508056,0.2646734714508056,1,1,-0.3497047049742403,-302.22641858,302.22641858,304.99339274848546,-304.99339274848546,304.99339274848546,0.7065910480874307,1.4107818798283245,21.367289097165884,449.8447870222278,575.6568467199646,0.7065910480874307,2.226088099084061,1.4107818798283245,328.53744708968026,360.16553754599124,54.82587116719981,0.0068941010811301,0.1601115890386197,158.52863063656918,21.567577785397955,2.9249337459215354,45.6348233485872,0.0068941010811301,0.1601115890386197,0.2359347941797654,0.2724828124046325,-80.18052673339844,0.2178728095846543,1.1239566525679612,146.81103574222226,0.480812196735994,1,-99.95756287336845,29.35833587371635,65.63243442614676,19.20812985000327,63.37493473006752,1.0887698316941226,162.5548572621958,29.558578858562537,-99.47991038763732,0.6603067517280579,294434,294.25901396,480351,28.56221227308797,-100.53035577372938,0.1702634245157241,306.5113523674996,56.727863165309344,304.0926575,31.875410666827374,2022-01-19 17:09:46.904000+00:00,2022-01-19 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2022-01-19
19,19,0,0,LC08_028040_20220204,-99.95756287336845,29.35833587371635,2022-02-04 17:09:42.956999936,0.0512675,0.0664199999999999,0.0900975,0.113005,0.18489,0.236095,0.1744399999999999,281.3970047,21824.0,0.1323067475,0.2413098575001258,0.1316796969452727,0.1351399620250784,281.3970047,0.0674798228417467,0.9506747982284174,0.9702226834153778,-99.95771415558715,29.35835258968116,-0.2413098514080047,0.2413098514080047,1,1,-0.3447156688940406,-281.3970047,281.3970047,284.2209600964685,-284.2209600964685,284.2209600964685,0.7660137919082575,0.2649184864250737,5.718037017711511,337.9814940156045,671.2574169252488,0.7660137919082575,0.6232213260010742,0.2649184864250737,234.26807998408967,467.1767970112464,24.63567042266074,0.0064124529007849,0.5800775801600494,426.61533669353145,9.86955948890328,3.3239422074169767,12.596011864176887,0.0064124529007849,0.5800775801600494,0.6945963469175135,0.2723872363567352,-74.09422302246094,0.023166082010821,0.0982323384953939,15.925789895054264,0.0359871409417274,0,-99.95756287336845,29.35833587371635,78.18875336234537,0.2769503538599338,42.50793022840446,3.9723700325866247,175.2030627198588,29.66966812804091,-99.84315671959985,0.7378855347633362,124203,272.01795782,204150,29.04793714522985,-100.45490169897931,0.2658470571041107,439.0115194928567,24.68359833424093,281.57474174000004,2.785869119729371,2022-02-04 17:09:42.956999936+00:00,2022-02-04 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2022-02-04
20,20,1,1,LC08_028040_20220220,-99.95756287336845,29.35833587371635,2022-02-20 17:09:36.724000000,,,,,,,,,,,,,,,,,,-99.95771415558715,29.35835258968116,,,1,1,,,,,,,0.7387939730038282,1.0782475422785944,16.825810851723112,,706.4813854592915,0.7387939730038282,1.85288650379884,1.0782475422785944,297.05735235761426,,,,,,,,,,,,0.139953464269638,-40.28276824951172,,,,,1,-99.95756287336845,29.35833587371635,,16.295459835445442,58.19285423407968,3.1544240444321234,194.86826331846413,29.739646366956027,-99.7779733771808,0.5664463043212891,172982,287.82971834,301718,28.268215461461807,-100.57475891819227,0.1758168935775756,351.046498190108,67.9710787734894,304.690811,,2022-02-20 17:09:36.724000+00:00,2022-02-20 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2022-02-20
