,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,H2O,CH4,FC,FCH4,FC_SSITC_TEST,FCH4_SSITC_TEST,H_inst_af,LE_inst_af,H_SSITC_TEST,LE_SSITC_TEST,WD,WS,USTAR,ZL,TAU,MO_LENGTH,V_SIGMA,W_SIGMA,TAU_SSITC_TEST,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,VPD_PI,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_1_2_1,TS_2_2_1,TS_3_2_1,TS_1_3_1,TS_2_3_1,TS_3_3_1,TS_1_4_1,TS_2_4_1,TS_3_4_1,TS_1_5_1,TS_2_5_1,TS_3_5_1,TS_1_6_1,TS_2_6_1,TS_3_6_1,G_inst_af,G_2_1_1,SWC_1_1_1,SWC_2_1_1,Rn_inst_af,NETRAD_1_1_2,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_OUT,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NDVI,P,WTD,DO,PCO2,H_PI_F,LE_PI_F,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
82,82,1,1,LC08_044034_20230122,-122.021084566628,38.23683498431164,2023-01-22 18:46:25.319000064,0.0313575,0.03694,0.0482424999999999,0.054815,0.0695275,0.0380675,0.02451,285.91904516,21824.0,0.04976789,0.1183223756961619,0.0328003531402506,0.0353471852388713,285.91904516,-0.114266488359898,0.948857335116401,0.9696229205884124,-122.0211983612518,38.23687324081939,-0.1183223724365234,0.1183223724365234,1,1,-0.1807336333531461,-285.91904516,285.91904516,286.44061556666435,-286.44061556666435,286.44061556666435,0.7013874803675104,0.7047818280814933,12.096382276907878,359.54753645811894,476.4420255470976,0.7013874803675104,1.2155133628330843,0.7047818280814933,275.32851988492706,354.4304604297285,19.631335206291634,0.0036597925300379,0.3455870799535749,226.7102269949956,14.873719242841,2.6899984322584487,21.14275823859085,0.0036597925300379,0.3455870799535749,0.4337128543223376,0.5347974300384521,-150.49771118164062,0.1575626609141452,0.6010164245698983,108.08889822844134,0.3228470150759964,1,-122.021084566628,38.23683498431164,53.211574161322304,9.848029152146712,57.982236117816726,2.494844307417223,138.31145646880438,37.70628462623383,-121.24310545013408,0.9056824445724488,285327,281.41067678,535531,37.37078870784487,-121.95362125241464,0.0256323162466287,285.93302089102554,21.226354098326084,287.75793992,17.044825800802318,2023-01-22 18:46:25.319000064+00:00,2023-01-22 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Hsm,,,2023-01-22
83,83,0,0,LC08_044033_20230207,-122.021084566628,38.23683498431164,2023-02-07 18:46:02.348000000,0.0296799999999999,0.0466749999999999,0.0770075,0.0837999999999999,0.1561525,0.1331075,0.0902625,281.9780681,21824.0,0.097367585,0.3015284275012764,0.1381943860828642,0.1466698875941361,281.9780681,0.0905554504087968,0.950905554504088,0.970298832986349,-122.0211983612518,38.23687324081939,-0.3015284240245819,0.3015284240245819,1,1,-0.3394450162978212,-281.9780681,281.9780681,282.7396813412044,-282.7396813412044,282.7396813412044,0.7055166013482614,0.8839107068570623,14.637084488184852,340.8644945153233,517.5123015790065,0.7055166013482614,1.2565671287577294,0.8839107068570623,254.5756538193802,368.33628730950215,15.838153150097996,0.0068417260566331,0.0348256208940303,180.7992595808236,18.58514936862288,2.644925682162381,209.80714469017468,0.0068417260566331,0.0348256208940303,0.0842898860244281,0.395648330450058,-109.2205581665039,0.249405355621692,0.9255220324905646,171.69887457858064,0.4870915841527156,0,-122.021084566628,38.23683498431164,54.5037730450084,10.34411336280251,70.34329377459653,0.236992378210776,130.0489695738036,38.88130966536611,-120.66362965513405,0.7183180451393127,112755,276.05463944,178944,38.07387761486197,-122.12906162236824,0.0660528168082237,297.53720181399484,18.35019307877543,284.17585496000004,26.24780484143241,2023-02-07 18:46:02.348000+00:00,2023-02-07 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Hsm,,,2023-02-07
84,84,1,1,LC08_044034_20230207,-122.021084566628,38.23683498431164,2023-02-07 18:46:26.239000064,,,,,,,,,,,,,,,,,,-122.0211983612518,38.23687324081939,,,1,1,,,,,,,0.7099898007986802,0.8839482885567606,14.637617534046466,,537.6991036375166,0.7099898007986802,1.2572327975153097,0.8839482885567606,274.67669702322274,,,,,,,,,,,,0.40689417719841,-114.52661895751952,,,,,1,-122.021084566628,38.23683498431164,,10.35203905701237,70.30903825478643,0.237089576820777,130.0489695738036,37.046690360186425,-121.87847047640346,0.7800793051719666,164005,281.4653651,288050,37.30524218150868,-121.8543310744317,0.0845996513962745,337.49972142299,30.791124902845148,291.72626114,,2023-02-07 18:46:26.239000064+00:00,2023-02-07 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Hsm,,,2023-02-07
85,85,2,2,LC08_044034_20230223,-122.021084566628,38.23683498431164,2023-02-23 18:46:09.732999936,,,,,,,,,,,,,,,,,,-122.0211983612518,38.23687324081939,,,1,1,,,,,,,0.7385975970091564,0.6176981093715197,10.86121685743433,,630.9037447130379,0.7385975970091564,0.9834212558965189,0.6176981093715197,255.5533254809596,,,,,,,,,,,,0.654108464717865,-181.31642150878903,,,,,2,-122.021084566628,38.23683498431164,,6.729796298307055,62.81114076677203,3.226356519050079,148.72658439217213,37.035883640771296,-121.93833348112784,0.8588067293167114,40014,277.19625812000004,50594,36.553114814322576,-121.54844083015976,0.0373467393219471,454.57360287430896,26.021954839181326,285.26278532000003,,2023-02-23 18:46:09.732999936+00:00,2023-02-23 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Hsm,,,2023-02-23
86,86,0,0,LC08_044033_20230327,-122.021084566628,38.23683498431164,2023-03-27 18:45:30.124000000,0.0196699999999999,0.0258575,0.0431824999999999,0.0443925,0.0865225,0.0379849999999999,0.0200275,293.15841152,21824.0,0.0489528175,0.3218118626589772,0.0908799696275819,0.1001640474548869,293.15841152,0.0003055881272646,0.9500030558812728,0.97000100844082,-122.0211983612518,38.23687324081939,-0.3218118548393249,0.3218118548393249,1,1,-0.3341428626498595,-293.15841152,293.15841152,293.6370920485725,-293.6370920485725,293.6370920485725,0.7567079536389871,0.785538330691153,13.241804646309438,397.84829424637707,780.8854630864275,0.7567079536389871,1.4042085978239829,0.785538330691153,273.0028640679227,604.1641804060439,50.97704030074901,0.0052681392972312,0.1349683785000872,262.50616134832313,19.28523170720429,4.12611988227664,54.13611812661942,0.0052681392972312,0.1349683785000872,0.2149086741963868,0.3652495741844177,-103.12470245361328,0.4266650631788907,3.063521342218988,290.6809787569718,0.5254659005660235,0,-122.021084566628,38.23683498431164,165.4987284138835,12.017774668777395,55.94171207244097,0.9418202254973412,256.1160092995555,38.94611867062128,-120.7428437015636,0.8312022686004639,435710,282.34037822,703218,38.255551935554905,-122.33296945931392,0.2235811650753021,477.0199619795852,61.315564940770976,297.95047556,86.88146526533049,2023-03-27 18:45:30.124000+00:00,2023-03-27 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Hsm,,,2023-03-27
